,Address,TheGraph Address,AToken Address,Interest Rate Strategy Address,LTV,Bonus,Reserve Factor,Bonus2
AAVE,,,,,,10%,0%,10%
BAT,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0xE1BA0FB44CCb0D11b80F92f4f8Ed94CA3fF51D00,0xb2408225FA27bDa826A0CB39d6874e872106C995,60%,10%,20%,10%
BAL,,,,,,10%,,
BUSD,0x4Fabb145d64652a948d72533023f6E7A623C7C53,0x4fabb145d64652a948d72533023f6e7a623c7c53,0x6Ee0f7BB50a54AB5253dA0667B0Dc2ee526C30a8,0x41ACf485DbeA7157498e2035Cf4e3E728cB1Aa71,0%,0%,10%,
CRV,,,,,,,20%,15%
DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x6b175474e89094c44da98b954eedeac495271d0f,0xfC1E690f61EFd961294b3e1Ce3313fBD8aa4f85d,0x247227714Bd121C528310E3bBff401ae34c9F9f6,75%,5%,10%,5%
ENJ,0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,,,,55%,10%,20%,10%
ETH,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x3a3A65aAb0dd2A17E3F1947bA16138cd37d08c04,0xE5e3bAA98532F36A2D0db3277629C8e138d31034,75%,5%,10%,5%
GUSD,,,,,,,10%,
KNC,0xdd974D5C2e2928deA5F71b9825b8b646686BD200,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x9D91BE44C06d373a8a226E1f3b146956083803eB,0xaEd08797f7461CfAc56c9224fD8e149584359369,60%,10%,20%,10%
LEND,0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0x7D2D3688Df45Ce7C552E19c27e007673da9204B8,0x3b5557eA5C10c2bE95CE371eECc13bB8dBffd9F5,50%,10%,,
LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x514910771af9ca656af840dff83e8264ecf986ca,0xA64BD6C70Cb9051F6A9ba1F163Fdc07E0DfB5F84,0x52705E9AC895D850ff69ACF31693eba6bee0D2d6,65%,10%,20%,10%
MANA,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0x6FCE4A401B6B80ACe52baAefE4421Bd188e76F6f,0xad6490E24ac89a647D2091348DbBb1139a6057E0,60%,10%,35%,10%
MKR,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0x7deB5e830be29F91E298ba5FF1356BB7f8146998,0x71A36b5DFa2c9d26e9cdC88813cb756e2E91e352,35%,10%,20%,10%
RAI,,,,,,20%,,
REN,0x408e41876cccdc0f92210600ef50372656052a38,,,,50%,10%,20%,10%
REP,0x1985365e9f78359a9B6AD760e32412f4a445E862,0x1985365e9f78359a9b6ad760e32412f4a445e862,0x71010A9D003445aC60C4e6A7017c1E89A477B438,0x0897cC8E132C6066567c357199eaCa4cE426BdA1,35%,10%,,
SNX,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x328C4c80BC7aCa0834Db37e6600A6c49E12Da4DE,0xDE3421A4BF5A45297E2dF46F8C10Dff391c0fE55,15%,10%,35%,10%
sUSD,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0x625aE63000f46200499120B906716420bd059240,0x4fD3103c7546a1093E89869C25CE2Ea4a10924F9,0%,0%,20%,
TUSD,0x0000000000085d4780B73119b644AE5ecd22b376,0x0000000000085d4780b73119b644ae5ecd22b376,0x4DA9b813057D04BAef4e5800E36083717b4a0341,0x98C2568114Bf5d14cBe880912058fd5850a1C557,1%,5%,10%,5%
UNI,,,,,,15%,20%,10%
USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x9bA00D6856a4eDF4665BcA2C2309936572473B7E,0x247227714Bd121C528310E3bBff401ae34c9F9f6,75%,5%,10%,5%
USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,0x71fc860F7D3A592A4a98740e39dB31d25db65ae8,0x247227714Bd121C528310E3bBff401ae34c9F9f6,0%,0%,10%,
WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xFC4B8ED459e00e5400be803A9BB3954234FD50e3,0x21BcEe0eD893EeC65CBf8C663C78c2B6c4e41314,60%,15%,20%,10%
WMATIC,,,,,,,20%,
XSUSHI,0x8798249c2E607446EfB7Ad49eC89dD1865Ff4272,,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,0xb49034Ada4BE5c6Bb3823A623C6250267110b06b,25%,,35%,15%
YFI,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,,,,40%,15%,20%,15%
ZRX,0xE41d2489571d322189246DaFA5ebDe1F4699F498,0xe41d2489571d322189246dafa5ebde1f4699f498,0x6Fb0855c404E09c47C3fBCA25f08d4E41f9F062f,0xE8b3e328A0Da1e46C1Cb1f5Efd5e3Df9741f03eF,60%,10%,20%,10%
